UserID,BookTitle,Genre,Author,BorrowedBooks,PublicationYear
U0002,History of India,History,Author_42,13,2003
U0996,Ethics in AI,Technology,Author_47,1,2023
U0319,Machine Learning Guide,Education,Author_36,4,1989
U0459,Artificial Intelligence 101,Education,Author_43,20,2001
U0130,Data Science 1,Education,Author_37,20,1997
U0783,Cooking Made Easy,cooking,Author_10,19,2017
U0091,Love Stories,Romance,Author_34,6,1981
U0831,Data Science 1,Education,Author_46,14,1981
U0122,Python Basics,Education,Author_24,1,1994
U0454,Love Stories,Romance,Author_44,6,2000
U0625,Machine Learning Guide,Education,Author_23,5,1997
U0893,Artificial Intelligence 101,Education,Author_1,20,1998
U0863,Big Data Analytics,Education,Author_4,18,1982
U0549,World War II,History,Author_35,13,2010
U0503,Love Stories,Romance,Author_12,15,1982
U0498,History of India,History,Author_49,9,2016
U0438,Modern Art,Art,Author_42,18,1988
U0255,Deep Learning Fundamentals,Education,Author_26,14,2000
U0848,,Education,Author_45,9,2018
U0404,Creative Writing,Art,Author_7,4,2020
U0077,Meditation for Beginners,Self-Help,Author_47,20,2005
U0367,Data Science 1,Education,Author_44,20,2003
U0777,Space Exploration,Science,Author_50,2,2021
U0301,Meditation for Beginners,Self-Help,Author_28,14,2017
U0482,Big Data Analytics,Education,Author_46,9,1984
U0236,Startup Growth,Business,Author_13,7,1984
U0077,Love Stories,Romance,Author_40,17,2004
U0902,HISTORY OF INDIA,History,Author_7,4,2002
U0416,Meditation for Beginners,Self-Help,Author_11,18,1990
U0214,Space Exploration,Science,Author_40,15,1990
U0866,CLIMATE CHANGE FACTS,Science,Author_49,12,1995
U0705,Artificial Intelligence 101,Education,Author_23,5,1981
U0870,Cooking Made Easy,Cooking,Author_32,9,2014
U0235,Big Data Analytics,Education,Author_12,10,1987
U0189,Creative Writing,Art,Author_4,4,2024
U0228,Business Strategy,Business,Author_31,20,1989
U0961,Web Development Mastery,,Author_7,13,1994
U0376,Data Science 1,Education,Author_5,12,2014
U0019,Quantum Computing,Science,Author_41,12,2023
U0297,Love Stories,Romance,Author_50,4,2013
U0964,Web Development Mastery,technology,Author_23,6,2018
U0610,Web Development Mastery,Technology,Author_35,2,2019
U0499,Web Development Mastery,Technology,Author_5,1,2002
U0681,Machine Learning Guide,Education,Author_37,3,2020
U0844,,Science,Author_11,8,2003
U0397,Romantic Tales,Romance,Author_14,7,2001
U0844,Deep Learning Fundamentals,Education,Author_27,19,2017
U0582,Blockchain Revolution,Technology,Author_9,7,1987
U0238,World War II,History,Author_19,9,2014
U0046,Blockchain Revolution,Technology,Author_34,18,1997
U0969,Love Stories,Romance,Author_37,17,1991
U0059,Advanced Statistics,Education,Author_27,17,2018
U0512,Ethics in AI,Technology,Author_4,16,1998
U0087,Business Strategy,Business,Author_5,2,2002
U0283,Modern Art,Art,Author_15,20,2004
U0672,History of India,History,Author_13,3,1980
U0116,Space Exploration,,Author_27,10,2021
U0902,Data Science with Python,Education,Author_37,10,1985
U0611,World War II,History,Author_20,15,2006
U0774,Deep Learning Fundamentals,Education,Author_40,9,2010
U0902,Quantum Computing,Science,,20,1997
U0873,World War II,History,Author_4,12,2005
U0313,Love Stories,Romance,Author_1,6,2008
U0434,Big Data Analytics,Education,Author_6,18,1980
U0778,,Education,Author_36,20,2025
U0022,Blockchain Revolution,Technology,Author_24,1,1992
U0875,Blockchain Revolution,Technology,Author_32,20,2005
U0449,Artificial Intelligence 101,Education,Author_37,6,1997
U0791,Meditation for Beginners,Self-Help,Author_21,14,1999
U0081,Modern Art,Art,Author_28,8,1997
U0848,Business Strategy,business,Author_7,20,2014
U0389,Cooking Made Easy,cooking,Author_16,6,1999
U0325,Creative Writing,art,Author_48,2,1992
U0904,Startup Growth,Business,Author_42,13,2010
U0090,Machine Learning Guide,Education,Author_16,17,2019
U0328,Machine Learning Guide,Education,Author_7,9,2025
U0690,Ethics in AI,technology,Author_34,4,2024
U0416,Love Stories,Romance,Author_31,12,1984
U0690,Climate Change Facts,Science,Author_50,8,2024
U0729,Blockchain Revolution,Technology,Author_10,12,2025
U0641,Quantum Computing,Science,Author_19,3,1998
U0619,Data Science 1,Education,Author_10,4,1980
U0928,Space Exploration,Science,Author_8,9,2012
U0255,Love Stories,Romance,Author_1,2,1984
U0666,Cooking Made Easy,Cooking,Author_39,18,2000
U0213,Quantum Computing,Science,Author_43,1,2011
U0041,Blockchain Revolution,Technology,Author_9,9,2016
U0619,Blockchain Revolution,Technology,Author_20,1,2021
U0537,Ethics in AI,Technology,Author_8,6,2024
U0899,World War II,History,Author_4,1,2007
U0844,Business Strategy,business,Author_41,3,2017
U0974,Data Science with Python,Education,Author_5,2,2007
U0151,Web Development Mastery,Technology,Author_49,15,2004
U0997,Artificial Intelligence 101,Education,Author_17,10,2025
U0584,Startup Growth,Business,Author_12,8,1992
U0910,Quantum Computing,Science,Author_6,10,2004
U0865,Web Development Mastery,technology,Author_34,10,2006
U0070,Romantic Tales,romance,Author_23,14,2002
U0704,Business Strategy,Business,Author_29,18,1987
U0172,Love Stories,Romance,Author_36,12,1987
U0204,Blockchain Revolution,Technology,Author_11,8,2023
U0024,Python Basics,Education,Author_45,18,2011
U0156,Deep Learning Fundamentals,Education,Author_32,18,1997
U0101,Data Science with Python,Education,Author_5,18,2023
